property_type,price,location,city,province_name,latitude,longitude,baths,area_sqft,purpose,bedrooms,year,month,day
House,18.8906843794481,Upper Mall,Lahore,Punjab,31.542114,74.355898,6.0,8.602640345647105,For Sale,5.0,2019,1,18
House,15.894952224644102,Model Town,Lahore,Punjab,31.473883882339,74.329080193659,3.0,6.706556666418615,For Sale,2.0,2019,7,3
House,18.938397268358436,Gulberg,Lahore,Punjab,31.522361,74.347172,0.0,9.010039498716473,For Sale,0.0,2019,5,3
Flat,16.929025911619092,Garden Town,Lahore,Punjab,31.5078,74.318733,0.0,7.553160745556674,For Sale,0.0,2019,4,3
House,16.648723960844016,Sultan Pura,Lahore,Punjab,31.581615000000003,74.341853,4.0,7.553160745556674,For Sale,5.0,2019,1,4
House,17.90148688732258,DHA Defence,Lahore,Punjab,31.462493,74.40934200000001,6.0,8.602640345647105,For Sale,5.0,2019,6,18
House,17.491811255187805,DHA Defence,Lahore,Punjab,31.471571,74.44590600000001,7.0,8.602640345647105,For Sale,5.0,2019,2,3
House,16.61887099947687,Gulberg,Lahore,Punjab,31.525956,74.342206,4.0,7.216893023463281,For Sale,4.0,2019,2,3
Flat,16.380459992348886,Askari,Lahore,Punjab,31.544308,74.383832,3.0,7.919625245371279,For Sale,3.0,2019,6,18
House,17.909855136853043,Sabzazar Scheme,Lahore,Punjab,31.521557,74.261012,0.0,8.602640345647105,For Sale,0.0,2018,12,5
House,18.938397268358436,Garden Town,Lahore,Punjab,31.5078,74.318733,0.0,9.010039498716473,For Sale,0.0,2019,5,3
House,18.5159909328476,DHA Defence,Lahore,Punjab,31.462493,74.40934200000001,6.0,9.010039498716473,For Sale,6.0,2019,2,3
House,17.665658180950928,DHA Defence,Lahore,Punjab,31.466007,74.448338,6.0,8.602640345647105,For Sale,5.0,2019,6,25
House,17.804494623047066,Gulberg,Lahore,Punjab,31.495909,74.350569,6.0,8.602640345647105,For Sale,5.0,2019,6,4
House,17.795192230557824,Gulberg,Lahore,Punjab,31.495909,74.350569,6.0,8.602640345647105,For Sale,5.0,2019,6,4
House,17.356469910987094,Gulberg,Lahore,Punjab,31.495909,74.350569,5.0,8.246043043863073,For Sale,4.0,2019,6,2
House,17.867295523158884,DHA Defence,Lahore,Punjab,31.462493,74.40934200000001,7.0,8.602640345647105,For Sale,6.0,2019,4,3
House,17.622173069956816,Cantt,Lahore,Punjab,31.5288,74.39312,4.0,8.3150182540382,For Sale,3.0,2019,6,18
House,17.622173069956816,Bahria Town,Lahore,Punjab,31.388758000000003,74.185073,4.0,9.010039498716473,For Sale,5.0,2019,6,2
House,17.216707972959764,T & T Aabpara Housing Society,Lahore,Punjab,31.413758,74.239726,6.0,8.602640345647105,For Sale,5.0,2019,6,19
House,17.553180200057167,DHA Defence,Lahore,Punjab,31.471571,74.44590600000001,6.0,8.602640345647105,For Sale,5.0,2019,2,3
House,17.57204868391651,DHA Defence,Lahore,Punjab,31.471571,74.44590600000001,6.0,8.602640345647105,For Sale,5.0,2019,6,29
House,17.6441519761925,DHA Defence,Lahore,Punjab,31.467105,74.459581,6.0,8.602640345647105,For Sale,5.0,2019,3,5
House,15.319588176962746,Al Faisal Town,Lahore,Punjab,31.550672,74.403963,3.0,6.301702805273309,For Sale,3.0,2019,6,18
House,16.860033043306743,Allama Iqbal Town,Lahore,Punjab,31.504068,74.27717700000001,7.0,7.9096767685629406,For Sale,7.0,2019,6,18
House,18.02763817065757,DHA Defence,Lahore,Punjab,31.469155,74.47055300000001,8.0,9.010039498716473,For Sale,7.0,2019,6,18
House,17.867295523158884,DHA Defence,Lahore,Punjab,31.46835,74.40160300000001,6.0,8.602640345647105,For Sale,5.0,2019,6,18
House,17.893048018819147,DHA Defence,Lahore,Punjab,31.458686,74.406624,6.0,8.602640345647105,For Sale,5.0,2019,6,25
House,16.41820031748273,T & T Aabpara Housing Society,Lahore,Punjab,31.413355,74.239926,5.0,7.9096767685629406,For Sale,5.0,2019,5,4
Flat,15.76142084987672,Askari,Lahore,Punjab,31.462781456825,74.433011412621,2.0,7.399098344224535,For Sale,2.0,2019,7,1
House,16.012735246411598,Gulshan-e-Ravi,Lahore,Punjab,31.551184000000003,74.284058,4.0,6.706556666418615,For Sale,3.0,2019,7,17
House,17.622173069956816,DHA Defence,Lahore,Punjab,31.462493,74.40934200000001,8.0,8.602640345647105,For Sale,6.0,2019,6,2
Flat,15.444751293772967,Bahria Town,Lahore,Punjab,31.374414,74.177749,1.0,6.301702805273309,For Sale,1.0,2019,4,3
House,16.341239282272525,Bahria Town,Lahore,Punjab,31.387824,74.193242,3.0,7.686625924195265,For Sale,3.0,2019,4,4
House,16.341239282272525,Canal Garden,Lahore,Punjab,31.394711,74.177392,3.0,7.9096767685629406,For Sale,2.0,2019,7,1
House,17.216707972959764,Muslim Nagar Housing Scheme,Lahore,Punjab,31.351625,74.22989799999999,5.0,8.784930686497418,For Sale,5.0,2019,4,4
House,18.31532023940565,Johar Town,Lahore,Punjab,31.462347,74.293642,0.0,9.010039498716473,For Sale,0.0,2019,5,3
House,16.5563506464056,Tricon Village,Lahore,Punjab,31.409619,74.166126,5.0,7.9096767685629406,For Sale,3.0,2019,4,4
House,16.68340951682656,Bahria Town,Lahore,Punjab,31.374195,74.191482,6.0,7.9096767685629406,For Sale,5.0,2019,6,18
House,17.989897843244528,Cantt,Lahore,Punjab,31.5288,74.39312,5.0,8.602640345647105,For Sale,4.0,2019,6,18
House,18.197537205138154,Cavalry Ground,Lahore,Punjab,31.500556,74.367728,6.0,9.010039498716473,For Sale,5.0,2019,6,18
House,16.432906463791053,Al Faisal Town,Lahore,Punjab,31.550672,74.403963,6.0,8.171955449758483,For Sale,5.0,2019,6,18
House,17.77632374660947,Gulberg,Lahore,Punjab,31.495909,74.350569,5.0,8.602640345647105,For Sale,5.0,2019,6,25
House,17.341871111992198,PCSIR Housing Scheme,Lahore,Punjab,31.452023,74.26255,5.0,8.602640345647105,For Sale,5.0,2019,5,3
House,18.132998684833918,Model Town,Lahore,Punjab,31.478379,74.319921,0.0,9.008044245104747,For Sale,0.0,2019,5,3
House,17.439851517607305,EME Society,Lahore,Punjab,31.438916,74.211559,0.0,7.9096767685629406,For Sale,0.0,2018,12,5
House,18.445373366298835,DHA Defence,Lahore,Punjab,31.478745,74.407969,8.0,9.010039498716473,For Sale,7.0,2019,2,3
House,16.257857680289998,Pak Arab Housing Society,Lahore,Punjab,31.426924,74.342333,4.0,7.216893023463281,For Sale,3.0,2019,5,3
House,17.565014657424058,DHA Defence,Lahore,Punjab,31.471571,74.44590600000001,6.0,8.602640345647105,For Sale,5.0,2019,6,2
House,18.938397268358436,Green Fort,Lahore,Punjab,31.435401,74.195094,10.0,9.010039498716473,For Sale,9.5,2019,4,4
House,16.213405921671733,Wapda Town,Lahore,Punjab,31.434522,74.266148,0.0,7.216893023463281,For Sale,0.0,2019,2,3
House,16.118095750958314,Pak Arab Housing Society,Lahore,Punjab,31.432105,74.349117,2.0,7.216893023463281,For Sale,2.0,2019,5,3
House,16.257857680289998,Pak Arab Housing Society,Lahore,Punjab,31.433607,74.344912,4.0,7.216893023463281,For Sale,3.0,2019,5,3
House,18.938397268358436,Model Town,Lahore,Punjab,31.486504,74.316745,0.0,9.010039498716473,For Sale,0.0,2019,5,3
House,16.749367480991666,State Life Housing Society,Lahore,Punjab,31.446824,74.404736,5.0,7.9096767685629406,For Sale,4.0,2019,6,25
House,16.213405921671733,Bahria Town,Lahore,Punjab,31.387823104858,74.193244934082,3.0,7.216893023463281,For Sale,3.0,2018,11,5
House,17.840862266556567,Allama Iqbal Town,Lahore,Punjab,31.506483000000003,74.286017,5.0,8.602640345647105,For Sale,5.0,2019,4,3
House,16.97675731236872,DHA Defence,Lahore,Punjab,31.462493,74.40934200000001,6.0,7.9096767685629406,For Sale,4.0,2019,7,3
House,17.426428497635523,Askari,Lahore,Punjab,31.533849,74.409633,0.0,8.440154467262884,For Sale,4.0,2019,7,3
House,17.453096744006448,Askari,Lahore,Punjab,31.533849,74.409633,0.0,8.440154467262884,For Sale,4.0,2019,7,3
House,17.72753358339242,Wahdat Road,Lahore,Punjab,31.506008,74.29315600000001,0.0,8.602640345647105,For Sale,0.0,2019,4,3
House,16.204273438942487,DHA 11 Rahbar,Lahore,Punjab,31.390645000000003,74.252887,4.0,7.216893023463281,For Sale,4.0,2019,7,3
House,15.53827733427679,Shershah Colony - Raiwind Road,Lahore,Punjab,31.410095,74.222553,4.0,6.706556666418615,For Sale,3.0,2019,6,4
House,17.312018149733785,DHA Defence,Lahore,Punjab,31.462493,74.40934200000001,5.0,7.9096767685629406,For Sale,4.0,2019,7,2
House,17.19990085520835,DHA Defence,Lahore,Punjab,31.462493,74.40934200000001,5.0,7.9096767685629406,For Sale,4.0,2019,7,2
House,18.132998684833918,Cantt,Lahore,Punjab,31.5288,74.39312,6.0,8.939060380268597,For Sale,5.0,2019,6,18
House,15.882373444019521,Jaranwala Road,Lahore,Punjab,31.606495501781,74.23177331686,4.0,7.9096767685629406,For Sale,3.0,2019,7,3
House,17.622173069956816,DHA Defence,Lahore,Punjab,31.487455,74.46889399999999,6.0,8.602640345647105,For Sale,5.0,2019,7,3
House,16.811242881518265,Cavalry Ground,Lahore,Punjab,31.500556,74.367728,6.0,7.9096767685629406,For Sale,6.0,2019,5,3
House,18.420680753952364,Cavalry Ground,Lahore,Punjab,31.500556,74.367728,6.0,9.010039498716473,For Sale,5.0,2019,6,18
House,17.296750678069195,State Life Housing Society,Lahore,Punjab,31.446824,74.404736,6.0,8.602640345647105,For Sale,5.0,2019,6,30
House,17.341871111992198,State Life Housing Society,Lahore,Punjab,31.446824,74.404736,6.0,8.602640345647105,For Sale,5.0,2019,6,28
House,17.77632374660947,Mozang,Lahore,Punjab,31.549166946763,74.318010360003,5.0,8.602640345647105,For Sale,5.0,2019,7,3
House,18.8906843794481,Gulberg,Lahore,Punjab,31.505678000000003,74.348202,5.0,9.010039498716473,For Sale,3.0,2019,6,11
House,17.50439003707821,Gulberg,Lahore,Punjab,31.495909,74.350569,4.0,8.246043043863073,For Sale,4.0,2019,6,4
House,17.813711277982097,Gulberg,Lahore,Punjab,31.495909,74.350569,0.0,8.602640345647105,For Sale,0.0,2019,6,4
